sample;version;construct;construct_old;cub;cub2;cub3;splicing;replicate;fraction_full_length;fraction_spliced;relative_mrna_levels;relative_fl_mrna_levels;relative_spliced_mrna_levels;relative_mrna_levels_nm;relative_fl_mrna_levels_nm;relative_spliced_mrna_levels_nm;median_GFP.A;GFP.A;GFP.A_nm;log10_GFP.A;positivity_threshold;negative_cell_fraction;positive_cell_fraction;i1;i2;i3;gaussian_mean1;gaussian_mean2;intensity_shble_raw;intensity_gfp_raw;intensity_neo_raw;intensity_sample;intensity shble norm;intensity_gfp_norm;intensity_neo_norm;intnorm_shble_mrna_fl;intnorm_gfp_mrna;iBAQ_all;ibaq_100hits;ibaqraw_shble;ibaqnorm_shble;ibaqnorm_shble_nm;ibaqraw_gfp;ibaqnorm_gfp;ibaqnorm_gfp_nm;ibaqnorm_gfp_tot;ibaqnorm_gfp_tot_nm;ibaqnorm_gfp_tot_mrna_fl;ibaqnorm_gfp_tot_mrna_fl_nm;ibaq_neo;ibaqnorm_neo;ibaqnorm_neo_nm;ibaqnorm_gfp_neo;ibaqnorm_shble_neo;fluo_mrna_nm;fluo_mrna;fluo_mrna_sh1;ibaqnorm_shble_mrna;ibaqnorm_shble_mrna_fl;ibaqnorm_shble_mrna_fl_sh1;ibaqnorm_nm_shble_mrna_fl_nm;ibaqnorm_gfp_mrna;ibaqnorm_gfp_mrna_sh1;ibaqnorm_nm_gfp_mrna_nm;ibaqnorm_shble_gfp;ibaqraw_shble_gfp;ibaqraw_shble_mrna_fl;ibaqraw_gfp_mrna;slope_shble_gfp_normibaq;COUSIN_18;CAI_18;CAI_59;GC3(%);COUSIN_59;folding;freq_CpG;freq_TpA;Axis1;Axis2;Axis3;Axis4;Axis5
mock_r1;mock;mock;mock;mock;NA;NA;mock;r1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7183001.927;29128017.15;10444004.48;3,42E+12;0.0000021;0.00000851;0.00000305;NA;NA;3420000000000;1540000000000;7183001.927;NA;NA;29128017.15;NA;NA;NA;NA;NA;NA;10444004.48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
mock_r2;mock;mock;mock;mock;NA;NA;mock;r2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;78926002.52;1;2297998.72;1,93E+12;0.0000409755;0.000000000000519;0.00000119;NA;NA;1930000000000;885000000000;78926002.52;NA;NA;1;NA;NA;NA;NA;NA;NA;2297998.72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
mock_r3;mock;mock;mock;mock;NA;NA;mock;r3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;41773974.43;1;1;2,95E+12;0.0000141562;0.000000000000339;0.000000000000339;NA;NA;2950000000000;1380000000000;41773974.43;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
empty_r1;empty;empty;empty;empty;NA;NA;empty;r1;1;0;10.32092234;10.32092234;0;1.753211443;1.753211443;0;1925696.5;2,87E+11;176;11.45850473;18253.03;0;1;0.18;0.31;0.51;5.45890344343083;7.03876051769537;53334994.62;52492942491;168350065.1;2,41E+12;0.00002215;0.021800299;0.0000699157;0.000012634;0.012434495;2410000000000;1130000000000;53334994.62;0.000000393;0.000189467;52492942491;0.000680801;200.4313035;0.999423071841502;0.999999054704442;0.999423071841502;1.76854545135696;168350065.1;0.0000699;0.191512085;9.73745525;0.005624774;100.387207;27807592230;114.538166429513;0.0000000381;0.0000000381;0.000060274891473555;0.00011;0.0000659632;366.462222222222;110;0;0;0;29941022060;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
empty_r2;empty;empty;empty;empty;NA;NA;empty;r2;1;0;5.511710068;5.511710068;0;1.596596773;1.596596773;0;476649;1,09E+11;78.8;11.03567049;18253.03;0.02;0.98;0.24;0.42;0.32;5.46922292336368;6.94494934384358;43464003.08;53856992288;378409922.9;3,10E+12;0.0000140375;0.017394061;0.000122214;0.00000879;0.010894461;3100000000000;1400000000000;43464003.08;0.000000376;0.000271077;53856992288;0.000479801;231.2606038;0.999216955414358;0.999998827830258;0.999216955414358;1.60761761020926;378409922.9;0.000122214;0.334766841;3.925908652;0.003077086;49.35497887;19776076510;75.1887038780664;0.0000000682;0.0000000682;0.000130968726895638;0.00017;0.0000870512;183.265684210526;140;0;0;0;33732369499;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
empty_r3;empty;empty;empty;empty;NA;NA;empty;r3;1;0;1.235418637;1.235418637;0;1.872544495;1.872544495;0;315755;1,19E+11;180;11.07505255;18253.03;0.02;0.98;0.35;0.36;0.27;5.14801597746294;5.95695047567092;69218981.75;6262196384;76721958.61;1,02E+12;0.0000680563;0.006157014;0.0000754333;0.0000363443;0.003288047;1020000000000;537000000000;69218981.75;0.00000711;0.012535614;6262196384;0.000166348;307.4761881;0.959010250319962;0.999959232280623;0.959010250319962;1.88387157505906;76721958.61;0.0000754;0.820869389;2.205232967;0.094233846;96.12588672;96323623769;125.054050095338;0.00000576;0.00000576;0.00577375886738097;0.0067;0.000134649;164.206097560976;160;0;0;0;3344217668;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
empty_r4;empty;empty;empty;empty;NA;NA;empty;r4;1;0;0.22221067;0.22221067;0;1.261377409;1.261377409;0;52965;23218382185;76;10.36583196;18253.03;0.13;0.87;0.65;0.16;0.07;4.62377984141533;5.24247391457867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60.25159437;1,04E+11;58.7446386205586;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
empty_r5;empty;empty;empty;empty;NA;NA;empty;r5;1;0;0.30956909;0.30956909;0;1.404444876;1.404444876;0;252995.5;61893998253;128;10.79164854;18253.03;0.01;0.99;0.37;0.46;0.16;5.24108572174275;5.92257398853465;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;91.1392125;2,00E+11;76.5139652377702;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
empty_r6;empty;empty;empty;empty;NA;NA;empty;r6;1;1;1.1885204;1.1885204;1.1885204;1.918528239;1.918528239;0;905717;2,14E+11;118;11.32943044;18253.03;0.02;0.98;0.3;0.28;0.41;5.01595727690617;6.68178031240313;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;61.50547988;1,80E+11;103.017910771687;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
empty_r7;empty;empty;empty;empty;NA;NA;empty;r7;1;0;6.600155432;6.600155432;0;2.150988781;2.150988781;0;159992.5;1,19E+11;52.8;11.07731371;18253.03;0.02;0.98;0.5;0.21;0.27;4.84716528931808;6.38360421843827;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24.54685048;18029878421;23.900162005073;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
empty_r8;empty;empty;empty;empty;NA;NA;empty;r8;1;0;1.539540692;1.539540692;0;0.882702996;0.882702996;0;1546737.5;1,73E+11;88.2;11.23924502;18253.03;0;1;0.05;0.48;0.47;5.78071408270777;6.83214970310065;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;99.92035872;1,12E+11;89.6146677188389;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
sh1s_r1;sh1;sh1;sh1;yes;high;overmatch;no;r1;1;0;4.523689788;4.523689788;0;0.768437591;0.768437591;0;9371;1098262046;0.673;9.040705975;18253.03;0.69;0.31;0.27;0.04;0;3.81756075301685;4.44824416918408;61699984954;68296965.59;280820128.2;1,65E+12;0.037288655;0.0000412756;0.000169715;0.048525287;0.0000537136;1650000000000;762000000000;61699984954;0.002859442;1.377638681;68296965.59;0.000000813;0.239309267;0.000284240391153936;0.148000600326066;0.000284240391153936;0.478921148239299;280820128.2;0.000169715;0.4648809;0.004789541;16.84849306;0.875803068;242780141.3;1;0.000632104;0.000632104;1;1.8;0.00000018;1;0.31;3517.148831;903.4074123;80292772864;88877699.88;0.00009;3.514;0.999;0.998;92.029;3.506;-1188.8;0.091787;0.009661836;-2.054666903;1.224755394;-0.446485985;0.345364564;0.005915763
sh1s_r2;sh1;sh1;sh1;yes;high;overmatch;no;r2;1;0;2.483715624;2.483715624;0;0.71946679;0.71946679;0;7637;653265021;0.472;8.815089405;18253.03;0.8;0.2;0.18;0.02;0;3.80645273893692;4.25334073069321;48901997564;85025965.44;169809970.8;2,63E+12;0.018582075;0.0000323087;0.0000645254;0.025827564;0.0000449064;2630000000000;1170000000000;48901997564;0.001293358;0.932288325;85025965.44;0.00000118;0.566649958;0.000911522102866042;0.378034215568834;0.000911522102866042;0.617315801953401;169809970.8;0.0000645;0.299331524;0.018219802;20.04416865;0.6560414;263019250.1;1;0.000520735;0.000520735;1;1.3;0.000000475;1;0.79;1096.066102;575.1419265;67969777401;118179138.5;0.00009;3.514;0.999;0.998;92.029;3.506;-1188.8;0.091787;0.009661836;-2.054666903;1.224755394;-0.446485985;0.345364564;0.005915763
sh1s_r3;sh1;sh1;sh1;yes;high;overmatch;no;r3;1;0;0.568408487;0.568408487;0;0.86154616;0.86154616;0;6282.5;437820008;0.661;8.641295605;18253.03;0.87;0.13;0.12;0.01;0;3.74994327889327;4.1778861175148;32068977180;15126995.95;189709922;3,61E+12;0.008884958;0.00000419;0.0000525606;0.010312806;0.00000486;3610000000000;1650000000000;32068977180;0.000567054;1;15126995.95;0.000000466;0.860705235;0.000821116436425148;0.462569362846985;0.000821116436425148;0.79743908277707;189709922;0.0000526;0.571967389;0.008859317;10.78857547;0.767225287;770255930.9;1;0.000997617;0.000997617;1;1.2;0.00000082;1;1;1216.854077;2119.983193;37222587331;17557963.41;0.00009;3.514;0.999;0.998;92.029;3.506;-1188.8;0.091787;0.009661836;-2.054666903;1.224755394;-0.446485985;0.345364564;0.005915763
sh1s_r4;sh1;sh1;sh1;yes;high;overmatch;no;r4;1;0;0.148650889;0.148650889;0;0.843815796;0.843815796;0;5762;264402582;0.866;8.422265692;18253.03;0.95;0.05;0.05;0;0;3.743569338448;4.11192240382104;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.02629034;1778681467;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.514;0.999;0.998;92.029;3.506;-1188.8;0.091787;0.009661836;-2.054666903;1.224755394;-0.446485985;0.345364564;0.005915763
